trade_date,ban1,ban2,ban3,2to3,3still
20230101,40,6,6,0,0
20230103,85,13,7,5,2
20230104,40,13,9,5,4
20230105,37,6,9,6,3
20230106,26,5,4,2,2
20230109,40,1,4,2,2
20230110,31,6,2,0,2
20230111,20,5,5,3,2
20230112,33,2,4,1,3
20230113,31,3,2,1,1
20230116,34,8,3,2,1
20230117,27,4,6,5,1
20230118,29,4,6,3,3
20230119,27,3,4,2,2
20230120,23,4,2,1,1
20230130,73,10,4,2,2
20230131,29,14,4,3,1
20230201,49,7,14,10,4
20230202,34,5,8,2,6
20230203,26,2,8,4,4
20230206,24,6,3,0,3
20230207,29,5,7,4,3
20230208,22,5,4,2,2
20230209,19,3,4,3,1
20230210,20,2,3,1,2
20230213,38,6,2,1,1
20230214,22,6,1,1,0
20230215,30,8,3,3,0
20230216,15,3,5,3,2
20230217,24,4,4,2,2
20230220,35,4,2,2,0
20230221,15,3,2,0,2
20230222,24,1,4,2,2
20230223,16,3,4,1,3
20230224,14,1,4,1,3
20230227,19,1,2,1,1
20230228,25,6,2,1,1
20230301,29,5,4,2,2
20230302,19,3,5,2,3
20230303,24,1,3,0,3
20230306,18,8,3,1,2
20230307,18,4,7,4,3
20230308,23,4,8,3,5
20230309,14,3,8,2,6
20230310,15,3,5,1,4
20230313,30,1,4,1,3
20230314,14,5,4,1,3
20230315,31,3,4,2,2
20230316,11,3,5,2,3
20230317,25,1,5,2,3
20230320,18,4,4,0,4
20230321,32,7,2,1,1
20230322,25,2,2,1,1
20230323,18,5,1,1,0
20230324,22,2,2,2,0
